"","Predictor","Estimate","StdError","PValue","FDR","logFDR"
"Valine","Valine",0.134987442449734,0.150931623383719,0.371128471419001,0.524487343906192,0.280264987047199
"AC.10.0.","AC.10.0.",0.447742943913079,0.154435413021114,0.00374086853143666,0.0156021589969675,1.80681530064605
"AC.10.1.","AC.10.1.",0.730415899061193,0.176651442298392,3.55285648394499e-05,0.000716979003141511,3.14449356253764
"AC.10.2.","AC.10.2.",0.551725693627032,0.158357462762063,0.000493882837493063,0.00427048403927598,2.36952289694859
"AC.10.3.","AC.10.3.",0.525300811277396,0.154815880697944,0.000691144778656803,0.00513851118044841,2.28916269419089
"AC.11.0.","AC.11.0.",0.0565838432575964,0.135253578034281,0.675688487248925,0.783454394098176,0.105986279307671
"AC.12.0.","AC.12.0.",0.231207912642907,0.148408240168605,0.119252617487466,0.24651749711765,0.608152250293591
"AC.12.1.","AC.12.1.",0.495231218625335,0.154783722374641,0.00137664030838259,0.00804205210172618,2.09463311757744
"AC.13.0.","AC.13.0.",0.0263174260275707,0.135910016586509,0.846458867786941,0.911566307882242,0.0402117350178056
"AC.14.0.","AC.14.0.",0.0730344495604225,0.142759829077962,0.608938237635518,0.738499564792011,0.13164975628769
"AC.14.0.OH.","AC.14.0.OH.",-0.103758718371524,0.145291301657563,0.47513896177485,0.633716788203909,0.198104787544569
"AC.14.1.","AC.14.1.",0.20973335153131,0.14982739877444,0.161563304454461,0.29867378445095,0.524802895132526
"AC.14.1.DC.","AC.14.1.DC.",-0.109690193178185,0.146626010685336,0.454402825959325,0.611833726291689,0.213366586948154
"AC.14.1.OH.","AC.14.1.OH.",0.454663220634656,0.150298758960587,0.00248581309480979,0.0118076122003465,1.92783791890309
"AC.14.2.","AC.14.2.",0.234712310213681,0.15334974659993,0.125876041852677,0.251752083705354,0.599026926184504
"AC.14.2.OH.","AC.14.2.OH.",-0.139609143316918,0.158070704413789,0.377124472042999,0.530767775467924,0.275095452351105
"AC.16.0.","AC.16.0.",-0.0954379087083196,0.136609606161141,0.484790888327677,0.637686476184868,0.195392793269237
"AC.16.1.","AC.16.1.",-0.482051703259854,0.14706377803007,0.00104604243715697,0.00715493027015367,2.14539459438989
"AC.16.1.OH.","AC.16.1.OH.",3.83273776449741,184.948451545085,0.983466401626546,0.986383473368549,0.00595421285694281
"AC.16.2.","AC.16.2.",0.274015798289891,0.151522209831821,0.0705411538121152,0.167535240303774,0.77589382707656
"AC.18.0.","AC.18.0.",-0.322926907607179,0.13857239869589,0.0197858620463821,0.0583341794815747,1.23407690646456
"AC.18.1.","AC.18.1.",-0.205718907215316,0.138852982109966,0.13845763318853,0.269048355400439,0.570169658301364
"AC.18.2.","AC.18.2.",-0.0749440219789504,0.135136397767616,0.579181574609318,0.712518339987003,0.147203952578898
"AC.4.0.DC.","AC.4.0.DC.",0.347756171594064,0.179841793582578,0.0531526949218832,0.130778573117151,0.883463405394482
"AC.5.0.DC.","AC.5.0.DC.",-0.207098318833948,0.138684771682154,0.13535801663322,0.267586368141972,0.572536014938283
"AC.5.0.OH.","AC.5.0.OH.",0.170711374364469,0.147761795610167,0.247961578926205,0.400013490531897,0.397925361760127
"AC.5.1.DC.","AC.5.1.DC.",-0.236945047077116,0.142979626855602,0.0974801640458243,0.21508526518498,0.667389340742459
"AC.6.0.","AC.6.0.",0.542080521211881,0.15931402966641,0.00066750064391264,0.00507300489373607,2.29473471873492
"AC.6.0.OH.","AC.6.0.OH.",-0.169577622072771,0.141198675677317,0.229756661275176,0.381440670660729,0.418573002685278
"AC.8.0.","AC.8.0.",0.505182198048122,0.159017802955691,0.00148863067110517,0.00834609327078634,2.07851676619015
"AC.8.1.","AC.8.1.",0.928805204649935,0.176098416659173,1.33225286293884e-07,1.51876826375028e-05,4.81850848647439
"AC.8.1.OH.","AC.8.1.OH.",0.655337887595172,0.237950971470792,0.00588559614225745,0.0228735668255915,1.64066610771992
"AC.0.0.","AC.0.0.",0.624724381185036,0.153429146983087,4.66622222652491e-05,0.000839920000774484,3.0757620768866
"AC.2.0.","AC.2.0.",0.0746731958341663,0.147358829593984,0.612334486378511,0.739994326294879,0.130771610091014
"AC.3.0.","AC.3.0.",-0.190689059079226,0.14692128742902,0.194321886919274,0.338195072870798,0.470832723883787
"AC.3.1.","AC.3.1.",-89.1761741899201,3982.39924692209,0.982134803085167,0.986383473368549,0.00595421285694281
"AC.4.0.","AC.4.0.",0.0215006201652965,0.147643499191477,0.884217240889266,0.947969581141471,0.0232055982677975
"AC.4.0.OH.","AC.4.0.OH.",-0.0851673813902393,0.119672892946289,0.476670320443357,0.633716788203909,0.198104787544569
"AC.5.0.","AC.5.0.",0.224427023827401,0.206580770886281,0.277307040186331,0.435041319925345,0.361469492095155
"AC.5.1.","AC.5.1.",-0.112264646846455,0.135774453725228,0.408324007584716,0.563091978201504,0.249420659566533
"CE.16.0.","CE.16.0.",0.278341507452673,0.156061709075371,0.0744992692100228,0.174511986779642,0.758174737109018
"CE.16.1.","CE.16.1.",0.317963077229186,0.148379159859255,0.0321203844269553,0.0867023347643232,1.06196920746486
"CE.17.0.","CE.17.0.",0.0424691742308599,0.149403874210347,0.77621304073411,0.859109579064937,0.0659514385574778
"CE.17.1.","CE.17.1.",-0.0871152196433618,0.144924669369359,0.547768783776222,0.693840459449881,0.15874037903489
"CE.17.2.","CE.17.2.",0.239798772473359,0.18612823897324,0.19762330333648,0.339006611257311,0.469791832166914
"CE.18.1.","CE.18.1.",0.157196846059984,0.127830002075416,0.218796887788011,0.366806547174018,0.435562921158582
"CE.18.2.","CE.18.2.",-0.0460357598970102,0.144539843284494,0.750106640132723,0.838354480148337,0.076572310461828
"CE.18.3.","CE.18.3.",0.116199789461036,0.145909114362478,0.42580845565153,0.580185226425591,0.236433334070982
"CE.19.2.","CE.19.2.",-0.764864895453206,0.158626732245303,1.42275218087381e-06,6.95116065512633e-05,4.15794267396647
"CE.19.3.","CE.19.3.",0.411392309539729,0.15564617322421,0.00821446748874418,0.0289623492902114,1.53816621311046
"CE.20.4.","CE.20.4.",0.253270639319954,0.154783375288062,0.10177870503694,0.2231302379656,0.651441571393678
"CE.20.5.","CE.20.5.",0.232123918426426,0.145842242050979,0.111472442606374,0.239770914285409,0.620203500684519
"CE.22.5.","CE.22.5.",-0.059660129419743,0.138884829484367,0.667511747257874,0.779143404649122,0.108382601228583
"CE.22.6.","CE.22.6.",0.247100979589372,0.142814936128071,0.0835913255041175,0.191867337734283,0.716998950481225
"Cer.34.0.","Cer.34.0.",0.23805206724571,0.155378795986762,0.125503771924053,0.251752083705354,0.599026926184504
"Cer.34.1.","Cer.34.1.",0.0442617979994376,0.136734740695615,0.74616094892307,0.836678834530131,0.0774412172256366
"Cer.38.1.","Cer.38.1.",0.385884545845415,0.488798165100496,0.429845654296726,0.583361959402699,0.234061894309486
"Cer.40.1.","Cer.40.1.",-0.092737237532154,0.141684230965277,0.512767415526252,0.664266879204463,0.177657401235004
"Cer.41.1.","Cer.41.1.",0.0347534017326933,0.141138435975276,0.805499341942789,0.880085698825462,0.0554750361284022
"Cer.42.1.","Cer.42.1.",0.014587144181949,0.142268206465013,0.918333854031538,0.962835830624204,0.0164477564185801
"Cer.42.2.","Cer.42.2.",0.122297637560612,0.143745809642,0.394885475809113,0.551227888680476,0.258668817962477
"Cer.43.1.","Cer.43.1.",-0.407286323640765,0.137667979913844,0.00309172263899352,0.0135560146478947,1.86786797055933
"DG.32.1.","DG.32.1.",-0.149354736096839,0.143819330083953,0.299042635586468,0.462365312201293,0.335014755220421
"DG.32.2.","DG.32.2.",-0.403546989076476,0.147199452646301,0.00611597532691557,0.0235018377730913,1.62889817587695
"DG.34.1.","DG.34.1.",0.276334218355609,0.132917900979426,0.0376188011090746,0.0977315240743301,1.00996532857125
"DG.34.3.","DG.34.3.",0.227448513924648,0.145376579615847,0.117689128221532,0.245424889340023,0.61008139615299
"DG.36.2.","DG.36.2.",0.408097414829306,0.149485397913286,0.00633313972875482,0.0240659309692683,1.61859733336349
"DG.36.3.","DG.36.3.",0.442680412291279,0.152194350543252,0.00362990593222745,0.015326269491627,1.81456354223375
"DG.36.4.","DG.36.4.",0.578013721187169,0.166937464931325,0.000535268305271991,0.00446492098543954,2.35018622230539
"DG.38.0.","DG.38.0.",0.126382876084311,0.144103621854414,0.380471562459284,0.533283911315882,0.27304151838375
"DG.38.5.","DG.38.5.",0.522890534678512,0.163436474241539,0.00137737693024438,0.00804205210172618,2.09463311757744
"DG.39.0.","DG.39.0.",0.504775273387895,0.15544744063001,0.00116529747357769,0.00740894995838042,2.13024333852474
"DG.41.1.","DG.41.1.",0.614815617012085,0.151680034429307,5.04846099363843e-05,0.000863286829912171,3.06384488452623
"DG.42.0.","DG.42.0.",-0.19688489215718,0.145923330909325,0.177261437173517,0.320337544925683,0.494392157188598
"DG.42.1.","DG.42.1.",0.0921619048597176,0.142011541855641,0.51635469709553,0.666389835496873,0.17627163588291
"DG.42.2.","DG.42.2.",-0.451865398164796,0.149229628678779,0.00246188554917507,0.0118076122003465,1.92783791890309
"DG.44.3.","DG.44.3.",0.424235242769701,0.162021167817638,0.00883447517424228,0.0302139050959086,1.5197931392749
"DG.O.32.2.","DG.O.32.2.",-0.0886501989158983,0.138721928539036,0.522790637592417,0.669641940286916,0.174157353902533
"DG.O.34.1.","DG.O.34.1.",0.142335857753545,0.145516062233852,0.328002447413188,0.48289366184169,0.316148494838304
"DG.O.36.4.","DG.O.36.4.",-0.203484079457814,0.146236320877749,0.164081653365014,0.30008516283869,0.522755476939626
"LPC.14.0.","LPC.14.0.",0.0198477140151285,0.141718439298227,0.88862022559947,0.949712866109434,0.0224076784092464
"LPC.15.0.","LPC.15.0.",-0.496035364241531,0.152931223460625,0.00118062840554171,0.00740894995838042,2.13024333852474
"LPC.16.0.","LPC.16.0.",-0.329024788774303,0.148880623808888,0.0271058101859658,0.0753673746634171,1.12281661261794
"LPC.16.1.","LPC.16.1.",-0.1482088432146,0.143037930173379,0.300131869323647,0.462365312201293,0.335014755220421
"LPC.17.0.","LPC.17.0.",-0.727715035281039,0.156282776291158,3.21787306840954e-06,0.000116058526433666,3.93532294786584
"LPC.17.1.","LPC.17.1.",-0.545442468344067,0.147387182132145,0.000214966892816944,0.00245062257811316,2.6107235695575
"LPC.18.0.","LPC.18.0.",-0.362988846389059,0.154254804292852,0.018613775080464,0.0563354962612272,1.24921787561576
"LPC.18.1.","LPC.18.1.",-1.02469787146687,0.184061331112965,2.58932768863275e-08,8.85550069512402e-06,5.05278687851885
"LPC.18.2.","LPC.18.2.",-0.968108571441724,0.186871749048115,2.21168315864573e-07,1.8909891006421e-05,4.72331097435149
"LPC.20.1.","LPC.20.1.",-0.863739633602209,0.182406000206864,2.1877565498074e-06,9.35265925042665e-05,4.02906488820939
"LPC.20.2.","LPC.20.2.",-0.616754238967999,0.156795932321552,8.37235301707422e-05,0.00118170717711361,2.92749012677011
"LPC.20.3.","LPC.20.3.",-0.495677132451986,0.160423327026106,0.00200286539775019,0.0102285124585197,1.99018752152055
"LPC.20.4.","LPC.20.4.",-0.944432025070267,0.1754845596108,7.37231430276738e-08,1.26066574577322e-05,4.89940004745476
"LPC.22.5.","LPC.22.5.",-0.270505046226661,0.163214182036698,0.0974462312046661,0.21508526518498,0.667389340742459
"LPC.22.6.","LPC.22.6.",-0.500923585823115,0.145393520537108,0.000570436232035222,0.00453695793851269,2.34323524699727
"LPC.24.0.","LPC.24.0.",0.19917774990097,0.154814810969861,0.198249480267433,0.339006611257311,0.469791832166914
"LPC.O.16.1.","LPC.O.16.1.",-0.475783709268237,0.144762955291429,0.00101390385977352,0.00707663510290906,2.15017319762333
"LPC.O.17.1.","LPC.O.17.1.",0.0481758195963353,0.136829259276108,0.72477292876302,0.823496151617783,0.0843384260450056
"LPC.O.18.0.","LPC.O.18.0.",0.201563613920807,0.14471119094399,0.163659654662691,0.30008516283869,0.522755476939626
"LPC.O.18.1.","LPC.O.18.1.",-0.681843948284047,0.163081654229789,2.90233371463704e-05,0.00070899866457562,3.14935458282538
"LPC.O.18.2.","LPC.O.18.2.",0.130591706131474,0.143753966075266,0.363646339726535,0.516475515095011,0.286950262549358
"PC.24.0.","PC.24.0.",0.161293339021286,0.157096854607741,0.30455575755174,0.463826446083338,0.333644492738517
"PC.25.0.","PC.25.0.",0.036826214364769,0.151569545380049,0.808031898921623,0.880085698825462,0.0554750361284022
"PC.27.1.","PC.27.1.",-0.294157990408853,0.146152300328648,0.0441481761129654,0.112676688288315,0.948165925967827
"PC.28.1.","PC.28.1.",0.105479570075208,0.149928930466765,0.481725228388882,0.636100494629334,0.196474266717593
"PC.29.0.","PC.29.0.",0.0919473340810918,0.153983141558052,0.550423274591822,0.694630110370492,0.158246395104832
"PC.29.2.","PC.29.2.",-0.447873764157636,0.140080253438035,0.0013873715614089,0.00804205210172618,2.09463311757744
"PC.30.0.","PC.30.0.",-0.0712887965146905,0.148624698634305,0.631471693898551,0.753129795291222,0.123130170517636
"PC.30.1.","PC.30.1.",-0.0598242335929198,0.134820328054747,0.657235607161185,0.775084750514225,0.110650807599101
"PC.31.0.","PC.31.0.",-0.118321757162656,0.144441719083627,0.412691663342665,0.566829513506792,0.246547545122803
"PC.31.1.","PC.31.1.",-0.0756595594529217,0.139002057292374,0.586231385753217,0.718547161865829,0.143544721662117
"PC.31.2.","PC.31.2.",-0.0524987331640569,0.129971274059872,0.686267383550847,0.792917044508074,0.100772246474214
"PC.31.3.","PC.31.3.",0.164573502316739,0.143603312701523,0.251783321634942,0.404271812202583,0.393326538734702
"PC.32.0.","PC.32.0.",-0.0849115944515041,0.148686280482646,0.567946174664187,0.703759390344753,0.152575797259316
"PC.32.1.","PC.32.1.",0.313131793777948,0.147123282846818,0.0333069746601216,0.0883022118896246,1.05402841760672
"PC.32.2.","PC.32.2.",0.0159464116475845,0.142445036564496,0.910864778138651,0.961468376924132,0.0170649953081865
"PC.32.3.","PC.32.3.",0.0193326776269454,0.152218493526488,0.898935568384172,0.952340964021642,0.0212075345127518
"PC.32.4.","PC.32.4.",-0.0796380652347551,0.138865414693324,0.566312292629091,0.703759390344753,0.152575797259316
"PC.32.5.","PC.32.5.",0.0743377847735986,0.155227323159418,0.632012430551406,0.753129795291222,0.123130170517636
"PC.32.6.","PC.32.6.",0.50275595792839,0.153964746433429,0.00109310910735207,0.00733026107283154,2.13488055735464
"PC.33.0.","PC.33.0.",-0.385502507316098,0.14494540393537,0.00782243515483423,0.0281291061760832,1.55084406765571
"PC.33.1.","PC.33.1.",-0.167526773149526,0.143975702722917,0.24459559811146,0.397324702762287,0.400854432830771
"PC.33.2.","PC.33.2.",-0.205561912173637,0.145875310378709,0.158787336003841,0.295137331050618,0.529975854397372
"PC.33.3.","PC.33.3.",-0.107291212987487,0.141503586025916,0.448317750420205,0.606026366180672,0.21750848072203
"PC.33.4.","PC.33.4.",-0.140088737216465,0.143511136049386,0.328988956751795,0.48289366184169,0.316148494838304
"PC.33.5.","PC.33.5.",-0.161739301644564,0.13068770488441,0.215863852174036,0.363672105633105,0.439290008910107
"PC.34.0.","PC.34.0.",0.174038809086995,0.180072976106042,0.333798830638929,0.487859829395358,0.311704940424651
"PC.34.1.","PC.34.1.",-0.0721521832681995,0.145155009645365,0.619139773686029,0.742967728423235,0.129030049862699
"PC.34.2.","PC.34.2.",0.00863278717761654,0.139851798637,0.950779354290548,0.969780445406643,0.0133265772194745
"PC.34.3.","PC.34.3.",0.169844066579079,0.140729011079708,0.227475520904011,0.37949574706913,0.420793086790262
"PC.34.4.","PC.34.4.",0.270596505547979,0.147187872750714,0.0659971625910848,0.160078224157099,0.79566774223198
"PC.34.5.","PC.34.5.",-0.070925307144721,0.141771582309403,0.616878828808352,0.742861124832593,0.12909236841459
"PC.35.0.","PC.35.0.",-0.128440047589997,0.127629532598537,0.314246982294339,0.473446995350942,0.32472863527767
"PC.35.1.","PC.35.1.",-0.403360755722082,0.149391968669003,0.00693360716193252,0.0260581719712189,1.58405605411302
"PC.35.2.","PC.35.2.",-0.53672333913244,0.151040902020477,0.000380146040908199,0.00351378232407038,2.45422514619394
"PC.35.3.","PC.35.3.",-0.193578851520294,0.145614599297331,0.183718747965968,0.32555342903814,0.48737772589073
"PC.35.4.","PC.35.4.",-0.0708044892275337,0.150774455214964,0.638637009168951,0.75838144838813,0.120112299300276
"PC.35.5.","PC.35.5.",0.0382554374618391,0.137197996990971,0.780372381881007,0.860622052423875,0.0651875298276003
"PC.36.1.","PC.36.1.",-0.00916821526639442,0.141324795494273,0.948274826294186,0.969780445406643,0.0133265772194745
"PC.36.2.","PC.36.2.",0.00977745956330992,0.141218093617186,0.944801296592455,0.969780445406643,0.0133265772194745
"PC.36.3.","PC.36.3.",0.0882719063569821,0.139177332749751,0.525923855807827,0.671141636889092,0.173185817195852
"PC.36.4.","PC.36.4.",0.151553215156918,0.153521215939987,0.323553953792669,0.48111066172649,0.317755018741426
"PC.36.5.","PC.36.5.",-0.00923338591010325,0.135991953599535,0.945867976730673,0.969780445406643,0.0133265772194745
"PC.36.6.","PC.36.6.",0.156326991703545,0.138211028691814,0.258023670509967,0.410437652625157,0.386752804871754
"PC.37.1.","PC.37.1.",-0.220781999407568,0.142179299069683,0.120460865341881,0.246692311059421,0.607844386450692
"PC.37.2.","PC.37.2.",-0.467036337594153,0.14951778422605,0.00178642642541685,0.00956624112774652,2.01925867645068
"PC.37.3.","PC.37.3.",-0.055264029545267,0.139929432501599,0.692885589338014,0.7951908441396,0.0995286290666544
"PC.37.4.","PC.37.4.",-0.290386876527322,0.147460001227567,0.0489234019504469,0.122129952314254,0.913177812471561
"PC.37.5.","PC.37.5.",-0.386950524571109,0.146901474663483,0.00843651200202523,0.0294417051499248,1.53103704094601
"PC.37.6.","PC.37.6.",0.0397373195029145,0.144019536732502,0.782612451180775,0.860622052423875,0.0651875298276003
"PC.38.0.","PC.38.0.",-0.635984148058967,0.154426213629479,3.81563191287721e-05,0.00072497006344667,3.13967992659914
"PC.38.2.","PC.38.2.",-0.577319820520457,0.147993642273429,9.58051847188291e-05,0.00126020666053229,2.89955822935129
"PC.38.3.","PC.38.3.",0.125218879660738,0.133052282270472,0.346640610883703,0.49825911872246,0.302544744459672
"PC.38.4.","PC.38.4.",0.235791076239675,0.149489494857726,0.114724518542087,0.241296539140461,0.617448907030209
"PC.38.5.","PC.38.5.",0.00921625112783457,0.13869448334735,0.947019548339428,0.969780445406643,0.0133265772194745
"PC.38.6.","PC.38.6.",0.229302919737327,0.140696775195261,0.103150813140324,0.224697949643254,0.648400890476658
"PC.38.7.","PC.38.7.",0.112167968412008,0.151398355175539,0.4587663831968,0.615286678640414,0.210922487570167
"PC.39.2.","PC.39.2.",-0.429230005162851,0.138924499466402,0.00200383138807256,0.0102285124585197,1.99018752152055
"PC.39.3.","PC.39.3.",-0.359822979872723,0.144958160198502,0.0130554160117009,0.042122191283035,1.37548904400658
"PC.39.4.","PC.39.4.",-0.473411913286373,0.163543129667182,0.003794943260458,0.0156369951214052,1.80584669933066
"PC.39.5.","PC.39.5.",-0.199818990063042,0.134664820772177,0.137855427073718,0.269048355400439,0.570169658301364
"PC.39.6.","PC.39.6.",-0.169110789106447,0.1357869278498,0.212980020611125,0.36217815892221,0.441077743269798
"PC.39.7.","PC.39.7.",-0.0286157616871715,0.141165296992468,0.839360907377795,0.908422247858247,0.0417122381645944
"PC.40.1.","PC.40.1.",0.2217983415632,0.143563734922645,0.12235911737996,0.249088203237776,0.603646840067085
"PC.40.2.","PC.40.2.",0.237017946584571,0.150217953178309,0.114605352816418,0.241296539140461,0.617448907030209
"PC.40.3.","PC.40.3.",-0.059878801982718,0.137327080908048,0.662814567835017,0.776310213012245,0.109964700290679
"PC.40.4.","PC.40.4.",0.0541933004949612,0.135286900130427,0.688728969986101,0.79308184422642,0.100681992175723
"PC.40.5.","PC.40.5.",-0.0127442985299276,0.155323895345471,0.934607091866074,0.968592804297567,0.0138587616630783
"PC.40.6.","PC.40.6.",0.470715172989281,0.157506818427364,0.00280315285821602,0.0129551118582416,1.88755883283583
"PC.40.7.","PC.40.7.",0.146427606888072,0.147955077292272,0.322332450499582,0.48111066172649,0.317755018741426
"PC.40.8.","PC.40.8.",0.173347614599376,0.14656742456891,0.236921784529563,0.391435991831452,0.407339244249945
"PC.40.9.","PC.40.9.",0.244114241432322,0.142782167260286,0.0873219198552434,0.199093977269955,0.700941877481313
"PC.41.2.","PC.41.2.",0.00634899049139546,0.144242715879169,0.964891632889738,0.976310468781924,0.0104120538111437
"PC.41.3.","PC.41.3.",0.0921116871544636,0.158646269925841,0.561503006528029,0.702325107024258,0.153461805957639
"PC.41.4.","PC.41.4.",0.360351788299107,0.162757385652386,0.0268258473283492,0.0752003261171757,1.12378027602295
"PC.41.5.","PC.41.5.",-0.152434544259946,0.148650774214229,0.305148977686406,0.463826446083338,0.333644492738517
"PC.41.8.","PC.41.8.",-0.130195515433107,0.137591964137059,0.344024352874949,0.49825911872246,0.302544744459672
"PC.42.0.","PC.42.0.",0.180829190137656,0.165337094404032,0.274086547785007,0.431970503882362,0.36454590697784
"PC.42.10.","PC.42.10.",-0.612357649703324,0.153670043400482,6.75124459976997e-05,0.0010495116605097,2.97901273186302
"PC.42.2.","PC.42.2.",0.136545142794227,0.145117515710391,0.346741725894577,0.49825911872246,0.302544744459672
"PC.42.4.","PC.42.4.",0.201575097097242,0.142219257799851,0.156379324708223,0.292249885520285,0.534245650287314
"PC.42.5.","PC.42.5.",0.420659856516288,0.170100119078143,0.0133979157422488,0.0424267331837879,1.37236040718871
"PC.42.6.","PC.42.6.",-0.263898890525207,0.148680360177764,0.0759076036373605,0.176601363564471,0.753005947495486
"PC.42.7.","PC.42.7.",0.0374796237616967,0.140596228308537,0.7897953975362,0.865737262683912,0.062613889367626
"PC.43.2.","PC.43.2.",0.00782807273679625,0.132651375308014,0.952942251268726,0.969780445406643,0.0133265772194745
"PC.43.6.","PC.43.6.",-0.0752545552756368,0.17239877232193,0.662463517517193,0.776310213012245,0.109964700290679
"PC.44.1.","PC.44.1.",0.468771381991515,0.154205848497828,0.00236651498303992,0.0117296829594153,1.93071372623377
"PC.44.10.","PC.44.10.",-0.257469570757048,0.137027609096747,0.0602497814028494,0.147181608855532,0.832146454071604
"PC.44.12.","PC.44.12.",0.0127424875921208,0.137636788734671,0.926236807822699,0.962835830624204,0.0164477564185801
"PC.44.3.","PC.44.3.",-0.0445393936763669,0.137453589199783,0.745913629938539,0.836678834530131,0.0774412172256366
"PC.44.5.","PC.44.5.",-0.183623566974305,0.137824968246616,0.182763148202814,0.325546857736262,0.48738649222121
"PC.44.6.","PC.44.6.",-0.0438384852667897,0.140378612249391,0.754822042208237,0.840876672427417,0.0752676955359573
"PC.44.7.","PC.44.7.",-0.0437953423769313,0.128466295001745,0.733171935612776,0.827540600592638,0.0822106897808911
"PC.46.1.","PC.46.1.",-6.38588424369868,333.621411964339,0.984728536155296,0.986383473368549,0.00595421285694281
"PC.46.2.","PC.46.2.",0.158432750724186,0.140724010848017,0.260233158377425,0.412035834097589,0.385065012427782
"PC.O.28.1.","PC.O.28.1.",-0.421603823753995,0.160575313560508,0.00865007005602077,0.0298820601935263,1.52458946375636
"PC.O.30.0.","PC.O.30.0.",-0.463511545900479,0.149452368458641,0.00192608044660747,0.0101341463498424,1.99421282824053
"PC.O.30.2.","PC.O.30.2.",-0.161267386306422,0.138754222216848,0.245133076850417,0.397324702762287,0.400854432830771
"PC.O.32.0.","PC.O.32.0.",-0.313407320228397,0.143505220273056,0.0289663861027612,0.0792520323771545,1.10098959171127
"PC.O.32.1.","PC.O.32.1.",-0.562949392084221,0.195217864257386,0.00393035302608356,0.0160021516061974,1.79582161935186
"PC.O.32.2.","PC.O.32.2.",-0.156461226706015,0.137006172476286,0.253453480438967,0.405051823879097,0.392489407933834
"PC.O.32.3.","PC.O.32.3.",0.532439910936851,0.164287282955317,0.00119149780032434,0.00740894995838042,2.13024333852474
"PC.O.33.3.","PC.O.33.3.",-0.130143820216856,0.127755222584267,0.308346992522492,0.46661359045439,0.331042616220805
